Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Bulgaria","Production","Barley","2023","t","797220"
"Crops and livestock products","Bulgaria","Yield","Beans, dry","2015","kg/ha","984.3"
"Crops and livestock products","Bulgaria","Production","Beans, dry","2015","t","3262"
"Crops and livestock products","Bulgaria","Yield","Beans, dry","2016","kg/ha","1084.6"
"Crops and livestock products","Bulgaria","Production","Beans, dry","2016","t","2614"
"Crops and livestock products","Bulgaria","Yield","Beans, dry","2017","kg/ha","910.1"
"Crops and livestock products","Bulgaria","Production","Beans, dry","2017","t","2502"
"Crops and livestock products","Bulgaria","Yield","Blueberries","2015","kg/ha","7263"
"Crops and livestock products","Bulgaria","Production","Blueberries","2015","t","96.7"
"Crops and livestock products","Bulgaria","Yield","Blueberries","2016","kg/ha","7612.8"
"Crops and livestock products","Bulgaria","Production","Blueberries","2016","t","98.72"
"Crops and livestock products","Bulgaria","Yield","Blueberries","2017","kg/ha","7787.7"
"Crops and livestock products","Bulgaria","Production","Blueberries","2017","t","98.54"
"Crops and livestock products","Bulgaria","Yield","Blueberries","2018","kg/ha","3333.3"
"Crops and livestock products","Bulgaria","Production","Blueberries","2018","t","100"
"Crops and livestock products","Bulgaria","Yield","Blueberries","2020","kg/ha","2000"
"Crops and livestock products","Bulgaria","Production","Blueberries","2020","t","80"
"Crops and livestock products","Bulgaria","Yield","Blueberries","2021","kg/ha","1571.4"
"Crops and livestock products","Bulgaria","Production","Blueberries","2021","t","110"
"Crops and livestock products","Bulgaria","Yield","Blueberries","2022","kg/ha","2333.3"
"Crops and livestock products","Bulgaria","Production","Blueberries","2022","t","140"
"Crops and livestock products","Bulgaria","Yield","Blueberries","2023","kg/ha","2875"
"Crops and livestock products","Bulgaria","Production","Blueberries","2023","t","230"
"Crops and livestock products","Bulgaria","Yield","Broad beans and horse beans, dry","2015","kg/ha","1000"
"Crops and livestock products","Bulgaria","Production","Broad beans and horse beans, dry","2015","t","35"
"Crops and livestock products","Bulgaria","Yield","Broad beans and horse beans, dry","2016","kg/ha","1441.6"
"Crops and livestock products","Bulgaria","Production","Broad beans and horse beans, dry","2016","t","111"
"Crops and livestock products","Bulgaria","Yield","Broad beans and horse beans, dry","2017","kg/ha","727.3"
"Crops and livestock products","Bulgaria","Production","Broad beans and horse beans, dry","2017","t","8"
"Crops and livestock products","Bulgaria","Yield","Broad beans and horse beans, dry","2018","kg/ha","1319.1"
"Crops and livestock products","Bulgaria","Production","Broad beans and horse beans, dry","2018","t","2480"
"Crops and livestock products","Bulgaria","Yield","Broad beans and horse beans, dry","2019","kg/ha","1169.8"
"Crops and livestock products","Bulgaria","Production","Broad beans and horse beans, dry","2019","t","1860"
"Crops and livestock products","Bulgaria","Production","Broad beans and horse beans, dry","2020","t","0"
"Crops and livestock products","Bulgaria","Production","Broad beans and horse beans, dry","2021","t","0"
"Crops and livestock products","Bulgaria","Yield","Broad beans and horse beans, green","2015","kg/ha","5806.7"
"Crops and livestock products","Bulgaria","Production","Broad beans and horse beans, green","2015","t","1713.22"
"Crops and livestock products","Bulgaria","Yield","Broad beans and horse beans, green","2016","kg/ha","5692"
"Crops and livestock products","Bulgaria","Production","Broad beans and horse beans, green","2016","t","1513.38"
"Crops and livestock products","Bulgaria","Yield","Broad beans and horse beans, green","2017","kg/ha","5710.1"
"Crops and livestock products","Bulgaria","Production","Broad beans and horse beans, green","2017","t","1770.36"
"Crops and livestock products","Bulgaria","Production","Broad beans and horse beans, green","2019","t","0"
"Crops and livestock products","Bulgaria","Production","Broad beans and horse beans, green","2021","t","0"
"Crops and livestock products","Bulgaria","Production","Broad beans and horse beans, green","2022","t","0"
"Crops and livestock products","Bulgaria","Production","Buckwheat","2015","t",""
"Crops and livestock products","Bulgaria","Production","Buckwheat","2016","t",""
"Crops and livestock products","Bulgaria","Production","Buckwheat","2017","t",""
"Crops and livestock products","Bulgaria","Yield","Cabbages","2015","kg/ha","22662.6"
"Crops and livestock products","Bulgaria","Production","Cabbages","2015","t","42447"
"Crops and livestock products","Bulgaria","Yield","Cabbages","2016","kg/ha","26313"
"Crops and livestock products","Bulgaria","Production","Cabbages","2016","t","75650"
"Crops and livestock products","Bulgaria","Yield","Cabbages","2017","kg/ha","24714.5"
"Crops and livestock products","Bulgaria","Production","Cabbages","2017","t","41817"
"Crops and livestock products","Bulgaria","Yield","Cabbages","2018","kg/ha","24102"
"Crops and livestock products","Bulgaria","Production","Cabbages","2018","t","47240"
"Crops and livestock products","Bulgaria","Yield","Cabbages","2019","kg/ha","26305.1"
"Crops and livestock products","Bulgaria","Production","Cabbages","2019","t","46560"
"Crops and livestock products","Bulgaria","Yield","Cabbages","2020","kg/ha","22027.4"
"Crops and livestock products","Bulgaria","Production","Cabbages","2020","t","32160"
"Crops and livestock products","Bulgaria","Yield","Cabbages","2021","kg/ha","22778.6"
"Crops and livestock products","Bulgaria","Production","Cabbages","2021","t","31890"
"Crops and livestock products","Bulgaria","Yield","Cabbages","2022","kg/ha","22241.6"
"Crops and livestock products","Bulgaria","Production","Cabbages","2022","t","39590"
"Crops and livestock products","Bulgaria","Yield","Cabbages","2023","kg/ha","24302.7"
"Crops and livestock products","Bulgaria","Production","Cabbages","2023","t","44960"
"Crops and livestock products","Bulgaria","Yield","Cantaloupes and other melons","2018","kg/ha","9602.9"
"Crops and livestock products","Bulgaria","Production","Cantaloupes and other melons","2018","t","26600"
"Crops and livestock products","Bulgaria","Yield","Cantaloupes and other melons","2019","kg/ha","9563.3"
"Crops and livestock products","Bulgaria","Production","Cantaloupes and other melons","2019","t","23430"
"Crops and livestock products","Bulgaria","Yield","Cantaloupes and other melons","2020","kg/ha","11361.6"
"Crops and livestock products","Bulgaria","Production","Cantaloupes and other melons","2020","t","25450"
"Crops and livestock products","Bulgaria","Yield","Cantaloupes and other melons","2021","kg/ha","9864.9"
"Crops and livestock products","Bulgaria","Production","Cantaloupes and other melons","2021","t","29200"
"Crops and livestock products","Bulgaria","Yield","Cantaloupes and other melons","2022","kg/ha","10331.7"
"Crops and livestock products","Bulgaria","Production","Cantaloupes and other melons","2022","t","21490"
"Crops and livestock products","Bulgaria","Yield","Cantaloupes and other melons","2023","kg/ha","10569.9"
"Crops and livestock products","Bulgaria","Production","Cantaloupes and other melons","2023","t","29490"
"Crops and livestock products","Bulgaria","Yield","Carrots and turnips","2015","kg/ha","23406.6"
"Crops and livestock products","Bulgaria","Production","Carrots and turnips","2015","t","8520"
"Crops and livestock products","Bulgaria","Yield","Carrots and turnips","2016","kg/ha","18241.7"
"Crops and livestock products","Bulgaria","Production","Carrots and turnips","2016","t","7698"
"Crops and livestock products","Bulgaria","Yield","Carrots and turnips","2017","kg/ha","20328.2"
"Crops and livestock products","Bulgaria","Production","Carrots and turnips","2017","t","23967"
"Crops and livestock products","Bulgaria","Yield","Carrots and turnips","2018","kg/ha","16875"
"Crops and livestock products","Bulgaria","Production","Carrots and turnips","2018","t","25650"
"Crops and livestock products","Bulgaria","Yield","Carrots and turnips","2019","kg/ha","18724.8"
"Crops and livestock products","Bulgaria","Production","Carrots and turnips","2019","t","20410"
"Crops and livestock products","Bulgaria","Yield","Carrots and turnips","2020","kg/ha","14745.8"
"Crops and livestock products","Bulgaria","Production","Carrots and turnips","2020","t","8700"
"Crops and livestock products","Bulgaria","Yield","Carrots and turnips","2021","kg/ha","26217.4"
"Crops and livestock products","Bulgaria","Production","Carrots and turnips","2021","t","12060"
"Crops and livestock products","Bulgaria","Yield","Carrots and turnips","2022","kg/ha","26500"
"Crops and livestock products","Bulgaria","Production","Carrots and turnips","2022","t","9540"
"Crops and livestock products","Bulgaria","Yield","Carrots and turnips","2023","kg/ha","21577.8"
"Crops and livestock products","Bulgaria","Production","Carrots and turnips","2023","t","9710"
"Crops and livestock products","Bulgaria","Production","Castor oil seeds","2015","t",""
"Crops and livestock products","Bulgaria","Production","Castor oil seeds","2016","t",""
"Crops and livestock products","Bulgaria","Production","Castor oil seeds","2017","t",""
"Crops and livestock products","Bulgaria","Yield","Cauliflowers and broccoli","2015","kg/ha","10961.9"
"Crops and livestock products","Bulgaria","Production","Cauliflowers and broccoli","2015","t","2587"
"Crops and livestock products","Bulgaria","Yield","Cauliflowers and broccoli","2016","kg/ha","14655.2"
"Crops and livestock products","Bulgaria","Production","Cauliflowers and broccoli","2016","t","2125"
"Crops and livestock products","Bulgaria","Yield","Cauliflowers and broccoli","2017","kg/ha","14347.8"
"Crops and livestock products","Bulgaria","Production","Cauliflowers and broccoli","2017","t","1980"
"Crops and livestock products","Bulgaria","Yield","Cauliflowers and broccoli","2018","kg/ha","16187.5"
"Crops and livestock products","Bulgaria","Production","Cauliflowers and broccoli","2018","t","2590"
"Crops and livestock products","Bulgaria","Yield","Cauliflowers and broccoli","2019","kg/ha","16478.3"
"Crops and livestock products","Bulgaria","Production","Cauliflowers and broccoli","2019","t","3790"
"Crops and livestock products","Bulgaria","Yield","Cauliflowers and broccoli","2020","kg/ha","9952.4"
"Crops and livestock products","Bulgaria","Production","Cauliflowers and broccoli","2020","t","2090"
"Crops and livestock products","Bulgaria","Yield","Cauliflowers and broccoli","2021","kg/ha","10250"
"Crops and livestock products","Bulgaria","Production","Cauliflowers and broccoli","2021","t","820"
"Crops and livestock products","Bulgaria","Yield","Cauliflowers and broccoli","2022","kg/ha","12642.9"
"Crops and livestock products","Bulgaria","Production","Cauliflowers and broccoli","2022","t","1770"
"Crops and livestock products","Bulgaria","Yield","Cauliflowers and broccoli","2023","kg/ha","13312.5"
"Crops and livestock products","Bulgaria","Production","Cauliflowers and broccoli","2023","t","2130"
"Crops and livestock products","Bulgaria","Yield","Cereals n.e.c.","2015","kg/ha","2249"
"Crops and livestock products","Bulgaria","Production","Cereals n.e.c.","2015","t","1102"
"Crops and livestock products","Bulgaria","Yield","Cereals n.e.c.","2016","kg/ha","2084.1"
"Crops and livestock products","Bulgaria","Production","Cereals n.e.c.","2016","t","1536"
"Crops and livestock products","Bulgaria","Yield","Cereals n.e.c.","2017","kg/ha","2032.1"
"Crops and livestock products","Bulgaria","Production","Cereals n.e.c.","2017","t","1902"
"Crops and livestock products","Bulgaria","Yield","Cereals n.e.c.","2018","kg/ha","2121.5"
"Crops and livestock products","Bulgaria","Production","Cereals n.e.c.","2018","t","6110"
"Crops and livestock products","Bulgaria","Yield","Cereals n.e.c.","2019","kg/ha","1765.8"
"Crops and livestock products","Bulgaria","Production","Cereals n.e.c.","2019","t","6410"
"Crops and livestock products","Bulgaria","Yield","Cereals n.e.c.","2020","kg/ha","1708.5"
"Crops and livestock products","Bulgaria","Production","Cereals n.e.c.","2020","t","9670"
"Crops and livestock products","Bulgaria","Yield","Cereals n.e.c.","2021","kg/ha","1810.7"
"Crops and livestock products","Bulgaria","Production","Cereals n.e.c.","2021","t","6120"
"Crops and livestock products","Bulgaria","Yield","Cereals n.e.c.","2022","kg/ha","1795.7"
"Crops and livestock products","Bulgaria","Production","Cereals n.e.c.","2022","t","7560"
"Crops and livestock products","Bulgaria","Yield","Cereals n.e.c.","2023","kg/ha","1821.9"
"Crops and livestock products","Bulgaria","Production","Cereals n.e.c.","2023","t","7980"
"Crops and livestock products","Bulgaria","Yield","Cherries","2015","kg/ha","6135.7"
"Crops and livestock products","Bulgaria","Production","Cherries","2015","t","49423"
"Crops and livestock products","Bulgaria","Yield","Cherries","2016","kg/ha","4548.7"
"Crops and livestock products","Bulgaria","Production","Cherries","2016","t","38496"
"Crops and livestock products","Bulgaria","Yield","Cherries","2017","kg/ha","5383.4"
"Crops and livestock products","Bulgaria","Production","Cherries","2017","t","48391"
"Crops and livestock products","Bulgaria","Yield","Cherries","2018","kg/ha","5503.5"
"Crops and livestock products","Bulgaria","Production","Cherries","2018","t","55310"
"Crops and livestock products","Bulgaria","Yield","Cherries","2019","kg/ha","5070.1"
"Crops and livestock products","Bulgaria","Production","Cherries","2019","t","54960"
"Crops and livestock products","Bulgaria","Yield","Cherries","2020","kg/ha","4922.9"
"Crops and livestock products","Bulgaria","Production","Cherries","2020","t","52330"
"Crops and livestock products","Bulgaria","Yield","Cherries","2021","kg/ha","4894.9"
"Crops and livestock products","Bulgaria","Production","Cherries","2021","t","52620"
"Crops and livestock products","Bulgaria","Yield","Cherries","2022","kg/ha","4992.6"
"Crops and livestock products","Bulgaria","Production","Cherries","2022","t","53920"
"Crops and livestock products","Bulgaria","Yield","Cherries","2023","kg/ha","4790.7"
"Crops and livestock products","Bulgaria","Production","Cherries","2023","t","46230"
"Crops and livestock products","Bulgaria","Yield","Chestnuts, in shell","2015","kg/ha","3997.1"
"Crops and livestock products","Bulgaria","Production","Chestnuts, in shell","2015","t","453.22"
"Crops and livestock products","Bulgaria","Yield","Chestnuts, in shell","2016","kg/ha","3953.3"
"Crops and livestock products","Bulgaria","Production","Chestnuts, in shell","2016","t","502.1"
"Crops and livestock products","Bulgaria","Yield","Chestnuts, in shell","2017","kg/ha","4043.2"
"Crops and livestock products","Bulgaria","Production","Chestnuts, in shell","2017","t","502.62"
"Crops and livestock products","Bulgaria","Production","Chestnuts, in shell","2020","t","0"
"Crops and livestock products","Bulgaria","Yield","Chestnuts, in shell","2021","kg/ha","2000"
"Crops and livestock products","Bulgaria","Production","Chestnuts, in shell","2021","t","20"
"Crops and livestock products","Bulgaria","Yield","Chestnuts, in shell","2022","kg/ha","2000"
"Crops and livestock products","Bulgaria","Production","Chestnuts, in shell","2022","t","40"
"Crops and livestock products","Bulgaria","Yield","Chestnuts, in shell","2023","kg/ha","1000"
"Crops and livestock products","Bulgaria","Production","Chestnuts, in shell","2023","t","20"
"Crops and livestock products","Bulgaria","Yield","Chick peas, dry","2015","kg/ha","1257.1"
"Crops and livestock products","Bulgaria","Production","Chick peas, dry","2015","t","3100"
"Crops and livestock products","Bulgaria","Yield","Chick peas, dry","2016","kg/ha","1284.4"
"Crops and livestock products","Bulgaria","Production","Chick peas, dry","2016","t","6065"
"Crops and livestock products","Bulgaria","Yield","Chick peas, dry","2017","kg/ha","1435.2"
"Crops and livestock products","Bulgaria","Production","Chick peas, dry","2017","t","32383"
"Crops and livestock products","Bulgaria","Yield","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2015","kg/ha","4215.3"
"Crops and livestock products","Bulgaria","Production","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2015","t","1349.02"
"Crops and livestock products","Bulgaria","Yield","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2016","kg/ha","3810.4"
"Crops and livestock products","Bulgaria","Production","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2016","t","1275.18"
"Crops and livestock products","Bulgaria","Yield","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2017","kg/ha","3557.1"
"Crops and livestock products","Bulgaria","Production","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2017","t","1266.36"
"Crops and livestock products","Bulgaria","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2015","kg/ha","16484.9"
"Crops and livestock products","Bulgaria","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2015","t","67819"
"Crops and livestock products","Bulgaria","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2016","kg/ha","20137"
"Crops and livestock products","Bulgaria","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2016","t","72030"
"Crops and livestock products","Bulgaria","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2017","kg/ha","16669.9"
"Crops and livestock products","Bulgaria","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2017","t","54544"
"Crops and livestock products","Bulgaria","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2018","kg/ha","17613.6"
"Crops and livestock products","Bulgaria","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2018","t","51960"
"Crops and livestock products","Bulgaria","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2019","kg/ha","19869.6"
"Crops and livestock products","Bulgaria","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2019","t","63980"
"Crops and livestock products","Bulgaria","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2020","kg/ha","18746.3"
"Crops and livestock products","Bulgaria","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2020","t","50990"
"Crops and livestock products","Bulgaria","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","kg/ha","20595.3"
"Crops and livestock products","Bulgaria","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","t","61580"
"Crops and livestock products","Bulgaria","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2022","kg/ha","19995.7"
"Crops and livestock products","Bulgaria","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2022","t","46790"
"Crops and livestock products","Bulgaria","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2023","kg/ha","20638.9"
"Crops and livestock products","Bulgaria","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2023","t","52010"
"Crops and livestock products","Bulgaria","Yield","Cranberries","2015","kg/ha","1223.5"
"Crops and livestock products","Bulgaria","Production","Cranberries","2015","t","89.44"
"Crops and livestock products","Bulgaria","Yield","Cranberries","2016","kg/ha","1246.5"
"Crops and livestock products","Bulgaria","Production","Cranberries","2016","t","86.72"
"Crops and livestock products","Bulgaria","Yield","Cranberries","2017","kg/ha","1241.2"
"Crops and livestock products","Bulgaria","Production","Cranberries","2017","t","86.09"
"Crops and livestock products","Bulgaria","Yield","Cucumbers and gherkins","2015","kg/ha","50134.5"
"Crops and livestock products","Bulgaria","Production","Cucumbers and gherkins","2015","t","50335"
"Crops and livestock products","Bulgaria","Yield","Cucumbers and gherkins","2016","kg/ha","122749.5"
"Crops and livestock products","Bulgaria","Production","Cucumbers and gherkins","2016","t","66653"
"Crops and livestock products","Bulgaria","Yield","Cucumbers and gherkins","2017","kg/ha","72337.8"
"Crops and livestock products","Bulgaria","Production","Cucumbers and gherkins","2017","t","54398"
"Crops and livestock products","Bulgaria","Yield","Cucumbers and gherkins","2018","kg/ha","55485.1"
"Crops and livestock products","Bulgaria","Production","Cucumbers and gherkins","2018","t","74350"
"Crops and livestock products","Bulgaria","Yield","Cucumbers and gherkins","2019","kg/ha","35595.1"
"Crops and livestock products","Bulgaria","Production","Cucumbers and gherkins","2019","t","72970"
"Crops and livestock products","Bulgaria","Yield","Cucumbers and gherkins","2020","kg/ha","50594.3"
"Crops and livestock products","Bulgaria","Production","Cucumbers and gherkins","2020","t","53630"
"Crops and livestock products","Bulgaria","Yield","Cucumbers and gherkins","2021","kg/ha","54222.2"
"Crops and livestock products","Bulgaria","Production","Cucumbers and gherkins","2021","t","53680"
"Crops and livestock products","Bulgaria","Yield","Cucumbers and gherkins","2022","kg/ha","73619.7"
"Crops and livestock products","Bulgaria","Production","Cucumbers and gherkins","2022","t","52270"
"Crops and livestock products","Bulgaria","Yield","Cucumbers and gherkins","2023","kg/ha","62511.9"
"Crops and livestock products","Bulgaria","Production","Cucumbers and gherkins","2023","t","52510"
"Crops and livestock products","Bulgaria","Yield","Currants","2015","kg/ha","584.3"
"Crops and livestock products","Bulgaria","Production","Currants","2015","t","0.3"
"Crops and livestock products","Bulgaria","Yield","Currants","2016","kg/ha","656.3"
"Crops and livestock products","Bulgaria","Production","Currants","2016","t","0.3"
"Crops and livestock products","Bulgaria","Yield","Currants","2017","kg/ha","659.4"
"Crops and livestock products","Bulgaria","Production","Currants","2017","t","0.3"
"Crops and livestock products","Bulgaria","Yield","Currants","2018","kg/ha","4000"
