Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Bulgaria","Yield","Almonds, in shell","2015","kg/ha","738.7"
"Crops and livestock products","Bulgaria","Production","Almonds, in shell","2015","t","424"
"Crops and livestock products","Bulgaria","Yield","Almonds, in shell","2016","kg/ha","852.1"
"Crops and livestock products","Bulgaria","Production","Almonds, in shell","2016","t","841"
"Crops and livestock products","Bulgaria","Yield","Almonds, in shell","2017","kg/ha","755.3"
"Crops and livestock products","Bulgaria","Production","Almonds, in shell","2017","t","713"
"Crops and livestock products","Bulgaria","Yield","Almonds, in shell","2018","kg/ha","1183.5"
"Crops and livestock products","Bulgaria","Production","Almonds, in shell","2018","t","1290"
"Crops and livestock products","Bulgaria","Yield","Almonds, in shell","2019","kg/ha","712.9"
"Crops and livestock products","Bulgaria","Production","Almonds, in shell","2019","t","720"
"Crops and livestock products","Bulgaria","Yield","Almonds, in shell","2020","kg/ha","505.4"
"Crops and livestock products","Bulgaria","Production","Almonds, in shell","2020","t","470"
"Crops and livestock products","Bulgaria","Yield","Almonds, in shell","2021","kg/ha","648.4"
"Crops and livestock products","Bulgaria","Production","Almonds, in shell","2021","t","830"
"Crops and livestock products","Bulgaria","Yield","Almonds, in shell","2022","kg/ha","635.8"
"Crops and livestock products","Bulgaria","Production","Almonds, in shell","2022","t","960"
"Crops and livestock products","Bulgaria","Yield","Almonds, in shell","2023","kg/ha","574.1"
"Crops and livestock products","Bulgaria","Production","Almonds, in shell","2023","t","620"
"Crops and livestock products","Bulgaria","Yield","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2015","kg/ha","1117.9"
"Crops and livestock products","Bulgaria","Production","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2015","t","39509"
"Crops and livestock products","Bulgaria","Yield","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","kg/ha","1135.6"
"Crops and livestock products","Bulgaria","Production","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","t","39630"
"Crops and livestock products","Bulgaria","Yield","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","kg/ha","1172.9"
"Crops and livestock products","Bulgaria","Production","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","t","23712"
"Crops and livestock products","Bulgaria","Yield","Apples","2015","kg/ha","12260"
"Crops and livestock products","Bulgaria","Production","Apples","2015","t","58419"
"Crops and livestock products","Bulgaria","Yield","Apples","2016","kg/ha","10886.6"
"Crops and livestock products","Bulgaria","Production","Apples","2016","t","44755"
"Crops and livestock products","Bulgaria","Yield","Apples","2017","kg/ha","11308.1"
"Crops and livestock products","Bulgaria","Production","Apples","2017","t","44927"
"Crops and livestock products","Bulgaria","Yield","Apples","2018","kg/ha","12638.2"
"Crops and livestock products","Bulgaria","Production","Apples","2018","t","50300"
"Crops and livestock products","Bulgaria","Yield","Apples","2019","kg/ha","10536.2"
"Crops and livestock products","Bulgaria","Production","Apples","2019","t","43620"
"Crops and livestock products","Bulgaria","Yield","Apples","2020","kg/ha","10637.6"
"Crops and livestock products","Bulgaria","Production","Apples","2020","t","37870"
"Crops and livestock products","Bulgaria","Yield","Apples","2021","kg/ha","11648.1"
"Crops and livestock products","Bulgaria","Production","Apples","2021","t","44030"
"Crops and livestock products","Bulgaria","Yield","Apples","2022","kg/ha","12473.1"
"Crops and livestock products","Bulgaria","Production","Apples","2022","t","46400"
"Crops and livestock products","Bulgaria","Yield","Apples","2023","kg/ha","9811.8"
"Crops and livestock products","Bulgaria","Production","Apples","2023","t","34930"
"Crops and livestock products","Bulgaria","Yield","Apricots","2015","kg/ha","5715"
"Crops and livestock products","Bulgaria","Production","Apricots","2015","t","14179"
"Crops and livestock products","Bulgaria","Yield","Apricots","2016","kg/ha","6070.1"
"Crops and livestock products","Bulgaria","Production","Apricots","2016","t","15503"
"Crops and livestock products","Bulgaria","Yield","Apricots","2017","kg/ha","7778.5"
"Crops and livestock products","Bulgaria","Production","Apricots","2017","t","22542"
"Crops and livestock products","Bulgaria","Yield","Apricots","2018","kg/ha","5329.4"
"Crops and livestock products","Bulgaria","Production","Apricots","2018","t","13590"
"Crops and livestock products","Bulgaria","Yield","Apricots","2019","kg/ha","6955.3"
"Crops and livestock products","Bulgaria","Production","Apricots","2019","t","20240"
"Crops and livestock products","Bulgaria","Yield","Apricots","2020","kg/ha","5173.9"
"Crops and livestock products","Bulgaria","Production","Apricots","2020","t","9520"
"Crops and livestock products","Bulgaria","Yield","Apricots","2021","kg/ha","6764.7"
"Crops and livestock products","Bulgaria","Production","Apricots","2021","t","20700"
"Crops and livestock products","Bulgaria","Yield","Apricots","2022","kg/ha","6242.6"
"Crops and livestock products","Bulgaria","Production","Apricots","2022","t","19040"
"Crops and livestock products","Bulgaria","Yield","Apricots","2023","kg/ha","4927.3"
"Crops and livestock products","Bulgaria","Production","Apricots","2023","t","10840"
"Crops and livestock products","Bulgaria","Yield","Artichokes","2018","kg/ha","1705.9"
"Crops and livestock products","Bulgaria","Production","Artichokes","2018","t","290"
"Crops and livestock products","Bulgaria","Yield","Artichokes","2019","kg/ha","642.9"
"Crops and livestock products","Bulgaria","Production","Artichokes","2019","t","180"
"Crops and livestock products","Bulgaria","Yield","Artichokes","2020","kg/ha","2321.4"
"Crops and livestock products","Bulgaria","Production","Artichokes","2020","t","650"
"Crops and livestock products","Bulgaria","Production","Artichokes","2022","t","0"
"Crops and livestock products","Bulgaria","Yield","Asparagus","2015","kg/ha","6061.6"
"Crops and livestock products","Bulgaria","Production","Asparagus","2015","t","7766.36"
"Crops and livestock products","Bulgaria","Yield","Asparagus","2016","kg/ha","6065.1"
"Crops and livestock products","Bulgaria","Production","Asparagus","2016","t","6838.41"
"Crops and livestock products","Bulgaria","Yield","Asparagus","2017","kg/ha","6128.9"
"Crops and livestock products","Bulgaria","Production","Asparagus","2017","t","6714.74"
"Crops and livestock products","Bulgaria","Yield","Asparagus","2021","kg/ha","2000"
"Crops and livestock products","Bulgaria","Production","Asparagus","2021","t","60"
"Crops and livestock products","Bulgaria","Production","Asparagus","2022","t","0"
"Crops and livestock products","Bulgaria","Production","Avocados","2018","t","0"
"Crops and livestock products","Bulgaria","Production","Avocados","2019","t","0"
"Crops and livestock products","Bulgaria","Production","Avocados","2020","t","0"
"Crops and livestock products","Bulgaria","Production","Avocados","2021","t","0"
"Crops and livestock products","Bulgaria","Production","Avocados","2022","t","0"
"Crops and livestock products","Bulgaria","Production","Avocados","2023","t","0"
"Crops and livestock products","Bulgaria","Production","Bananas","2018","t","0"
"Crops and livestock products","Bulgaria","Production","Bananas","2019","t","0"
"Crops and livestock products","Bulgaria","Production","Bananas","2020","t","0"
"Crops and livestock products","Bulgaria","Production","Bananas","2021","t","0"
"Crops and livestock products","Bulgaria","Production","Bananas","2022","t","0"
"Crops and livestock products","Bulgaria","Production","Bananas","2023","t","0"
"Crops and livestock products","Bulgaria","Yield","Barley","2015","kg/ha","3966.1"
"Crops and livestock products","Bulgaria","Production","Barley","2015","t","697863"
"Crops and livestock products","Bulgaria","Yield","Barley","2016","kg/ha","4316.1"
"Crops and livestock products","Bulgaria","Production","Barley","2016","t","689850"
"Crops and livestock products","Bulgaria","Yield","Barley","2017","kg/ha","4637.1"
"Crops and livestock products","Bulgaria","Production","Barley","2017","t","595237"
"Crops and livestock products","Bulgaria","Yield","Barley","2018","kg/ha","4332.3"
"Crops and livestock products","Bulgaria","Production","Barley","2018","t","448700"
"Crops and livestock products","Bulgaria","Yield","Barley","2019","kg/ha","5026.8"
"Crops and livestock products","Bulgaria","Production","Barley","2019","t","563150"
"Crops and livestock products","Bulgaria","Yield","Barley","2020","kg/ha","4331"
"Crops and livestock products","Bulgaria","Production","Barley","2020","t","566320"
"Crops and livestock products","Bulgaria","Yield","Barley","2021","kg/ha","5574.1"
"Crops and livestock products","Bulgaria","Production","Barley","2021","t","704070"
"Crops and livestock products","Bulgaria","Yield","Barley","2022","kg/ha","5102.5"
"Crops and livestock products","Bulgaria","Production","Barley","2022","t","624600"
"Crops and livestock products","Bulgaria","Yield","Barley","2023","kg/ha","5315.5"
