strategy_id,primary_id,Edgar_Class,CSC.Sector,CSC.Subsector,value,Year,Gas,design_id,future_id,strategy,Code,Contry,source,value_original,value_hp
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.086481912,2024,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.086481912,0.086481912
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.082609576,2025,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.082609576,0.082609576
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.078746211,2026,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.078746211,0.078746211
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.074905185,2027,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.074905185,0.074905185
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.071106713,2028,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.071106713,0.071106713
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.067377544,2029,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.067377544,0.067377544
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.063749868,2030,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.063749868,0.063749868
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.060259544,2031,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.060259544,0.060259544
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.05694381,2032,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.05694381,0.05694381
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.053838555,2033,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.053838555,0.053838555
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.050975208,2034,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.050975208,0.050975208
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.048377237,2035,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.048377237,0.048377237
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.046056246,2036,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.046056246,0.046056246
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.044016028,2037,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.044016028,0.044016028
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.042248259,2038,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.042248259,0.042248259
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.040733613,2039,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.040733613,0.040733613
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.039448887,2040,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.039448887,0.039448887
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.038368263,2041,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.038368263,0.038368263
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.037464424,2042,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.037464424,0.037464424
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.036709553,2043,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.036709553,0.036709553
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.036076221,2044,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.036076221,0.036076221
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.035538187,2045,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.035538187,0.035538187
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.035071121,2046,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.035071121,0.035071121
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.034653268,2047,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.034653268,0.034653268
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.03426607,2048,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.03426607,0.03426607
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.033894758,2049,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.033894758,0.033894758
0,0,AG - Crops:CO2,Agriculture,AG - Crops,0.033528927,2050,CO2,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.033528927,0.033528927
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.40272,2022,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.40272,3.40272
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.40626967,2023,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.40626967,3.40626967
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.409783965,2024,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.409783965,3.409783965
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.41323412,2025,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.41323412,3.41323412
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.416597501,2026,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.416597501,3.416597501
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.419857016,2027,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.419857016,3.419857016
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.423000504,2028,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.423000504,3.423000504
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.426020156,2029,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.426020156,3.426020156
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.428911827,2030,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.428911827,3.428911827
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.431674338,2031,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.431674338,3.431674338
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.434308914,2032,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.434308914,3.434308914
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.436818757,2033,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.436818757,3.436818757
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.439208675,2034,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.439208675,3.439208675
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.441484775,2035,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.441484775,3.441484775
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.443654196,2036,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.443654196,3.443654196
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.445724839,2037,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.445724839,3.445724839
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.447705202,2038,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.447705202,3.447705202
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.449604188,2039,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.449604188,3.449604188
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.451430878,2040,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.451430878,3.451430878
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.453194373,2041,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.453194373,3.453194373
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.45490368,2042,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.45490368,3.45490368
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.456567568,2043,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.456567568,3.456567568
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.458194448,2044,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.458194448,3.458194448
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.459792245,2045,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.459792245,3.459792245
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.461368268,2046,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.461368268,3.461368268
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.462929072,2047,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.462929072,3.462929072
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.4644803,2048,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.4644803,3.4644803
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.466026502,2049,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.466026502,3.466026502
0,0,AG - Crops:N2O,Agriculture,AG - Crops,3.467570945,2050,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,3.467570945,3.467570945
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,1.976805,2022,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,1.976805,NA
