subsector,2050_WEM_target,2050_WAM_target
Agriculture,6,5.8
Energy,15.1,0
Industrial Processes,3.9,0.5
"Land Use, Land Use Change, and Forestry",-9.2,-9.2
Waste,1.9,1.4
