Code,Country,EDGAR Country Code,Income group,Lending category,Region,CSC Sector,CSC Subsector,Gas,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Agriculture,AG - Livestock,CH4,MtCO2e,2.67964,2.600875,2.52211,2.443345,2.36458,2.407855,2.322685,2.237515,2.152345,2.067225,2.02882,2.02624,2.023645,2.02106,2.01848,2.017415,1.987665,1.991895,1.954175,1.90819,1.957065,2.01269,1.976805
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Agriculture,AG - Livestock,N2O,MtCO2e,0.31216,0.314205,0.31625,0.318295,0.32034,0.343395,0.336305,0.329215,0.322125,0.315085,0.31044,0.30966,0.308875,0.30809,0.30731,0.308535,0.300655,0.306285,0.312265,0.31497,0.304595,0.30843,0.306905
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Agriculture,AG - Crops,CH4,MtCO2e,0.04425,0.046405,0.04856,0.050715,0.05287,0.054365,0.06809,0.081815,0.09554,0.109265,0.134555,0.136265,0.137975,0.139685,0.141395,0.14263,0.107965,0.12416,0.11199,0.13993,0.12703,0.142395,0.12515
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Agriculture,AG - Crops,CO2,MtCO2e,0.04957,0.050435,0.05129,0.052155,0.05301,0.056655,0.06048,0.064295,0.06811,0.071935,0.084815,0.087095,0.089365,0.091645,0.093915,0.10171,0.096325,0.09877,0.09664,0.08658,0.08814,0.095085,0.09423
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Agriculture,AG - Crops,N2O,MtCO2e,1.97834,2.02363,2.06892,2.11421,2.1595,2.10282,2.22793,2.35304,2.47815,2.60326,2.62535,2.58786,2.55037,2.51288,2.47539,2.33459,2.50947,2.88169,2.74331,3.34134,3.06788,3.50893,3.40272
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Energy,EN - Building,CH4,MtCO2e,0.267662816,0.227455067,0.313139421,0.354353714,0.336252769,0.330501015,0.352171081,0.328903827,0.338662185,0.30773569,0.355924022,0.389912407,0.400207209,0.372536333,0.331401852,0.332578377,0.354723221,0.379550707,0.359761373,0.349698781,0.384786812,0.402469572,0.415001286
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Energy,EN - Building,CO2,MtCO2e,2.225429161,2.055646408,2.425898775,2.553387839,2.129956152,2.133294828,2.364230002,2.070617003,1.827175785,1.593343047,1.747303914,1.982473159,1.926383833,1.661279689,1.41600101,1.566169403,1.59695047,1.638649452,1.475599123,1.410762337,1.424732878,1.626602772,1.695735954
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Energy,EN - Building,N2O,MtCO2e,0.106716687,0.097940212,0.105680317,0.106766125,0.101775868,0.103691434,0.106197741,0.094182287,0.068339232,0.070910126,0.074050144,0.079640018,0.082305066,0.076476468,0.074750776,0.076427467,0.074079038,0.076057814,0.078692989,0.077692542,0.080144988,0.082851491,0.087103271
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Energy,EN - Electricity/Heat,CH4,MtCO2e,0.00704582,0.007786416,0.007162145,0.008154832,0.007877597,0.007844415,0.007720895,0.008561986,0.008498018,0.007785899,0.00871243,0.010080016,0.009249279,0.00829685,0.009374719,0.009803574,0.00979687,0.00953374,0.021744563,0.025007693,0.021502036,0.022886758,0.023683908
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Energy,EN - Electricity/Heat,CO2,MtCO2e,24.0816699,27.37656682,24.70629471,27.47064719,26.798834,26.79012563,26.96587,30.383585,30.61056258,27.83291628,29.76066699,34.38450673,29.67907315,25.63172649,27.39799929,28.2078657,24.90046236,26.26995738,22.89833695,21.24751678,17.28362788,21.89644496,25.09105165
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Energy,EN - Electricity/Heat,N2O,MtCO2e,0.078207652,0.091420129,0.082400738,0.092304297,0.090495095,0.090199866,0.091369935,0.103995016,0.105615926,0.094878925,0.101666593,0.119303883,0.101741581,0.087352951,0.094877924,0.098158596,0.086552282,0.091293989,0.096283451,0.094793359,0.077046133,0.093524314,0.106404361
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Energy,EN - Fugitive Emissions,CH4,MtCO2e,1.100794443,1.117507262,1.077942112,1.100067567,1.085197904,1.013542606,1.017613807,1.051895125,1.068230682,0.961449041,0.994984416,1.215483576,1.091319251,0.963519703,1.00459365,1.112146555,0.998114471,1.083989196,0.984363544,0.935958462,0.795840773,0.944540017,1.125721545
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Energy,EN - Fugitive Emissions,CO2,MtCO2e,3.360001277,2.740355985,2.457060115,2.833057333,2.35880807,2.255849231,2.169564537,2.400288238,1.36984169,1.133334578,1.128874804,1.167187544,1.324780188,1.340380371,1.352873437,1.490345065,1.419932242,1.46062803,1.748379122,2.183867677,2.065558008,2.259274531,2.463175335
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Energy,EN - Fugitive Emissions,N2O,MtCO2e,0.001093132,0.000936136,0.000878915,0.000871712,0.000887817,0.000947438,0.00096416,0.00099472,0.001424654,0.001507129,0.001456854,0.001375805,0.001018652,0.00103894,0.000968732,0.001141934,0.001120255,0.001119777,0.000948276,0.000982683,0.000759429,0.000797677,0.000855997
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Energy,EN - Manufacturing/Construction,CH4,MtCO2e,0.009624858,0.011465493,0.0110309,0.012807566,0.013306176,0.012712752,0.012792948,0.013400172,0.01000766,0.006483258,0.010518049,0.011155203,0.010996968,0.012955546,0.012251304,0.014196186,0.014104242,0.014445074,0.015268218,0.015566792,0.015842376,0.017121083,0.018077663
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Energy,EN - Manufacturing/Construction,CO2,MtCO2e,7.978854678,7.866336434,7.486314825,8.087352576,7.983426262,7.818718398,7.933585047,8.407747314,6.109987737,3.496231582,3.708930233,3.611402027,3.271316193,3.280585813,3.339571095,3.654529316,3.712127503,4.371588665,4.817311979,4.581959403,4.413086311,4.927180946,4.932055857
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Energy,EN - Manufacturing/Construction,N2O,MtCO2e,0.014221244,0.016765557,0.016488884,0.018621314,0.019340839,0.018250201,0.018176317,0.019010457,0.014135007,0.008928789,0.014328857,0.014873491,0.014606409,0.017079045,0.016194474,0.018445954,0.018348657,0.019063283,0.020343401,0.020658335,0.020809759,0.022527384,0.023924889
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Energy,EN - Transportation,CH4,MtCO2e,0.033655365,0.036020271,0.038907719,0.039745873,0.040535725,0.045564994,0.047858242,0.042912921,0.041229962,0.043538719,0.043270338,0.040394488,0.042286192,0.04342221,0.047520143,0.050010554,0.051695103,0.050555182,0.049071346,0.048576189,0.046233148,0.048779836,0.050659814
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Energy,EN - Transportation,CO2,MtCO2e,5.431232292,5.603640324,5.829559292,6.419480447,6.94978085,7.763894421,8.190068194,7.925018293,8.305100498,7.977542079,7.759902464,7.93520161,8.211955698,7.268183834,8.134724209,8.927925061,9.044932455,9.189129117,9.396973026,9.520767248,8.954451744,9.440524575,10.31481115
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Energy,EN - Transportation,N2O,MtCO2e,0.057653849,0.054916209,0.057491513,0.059519469,0.061274353,0.064872225,0.069468474,0.067102017,0.071525384,0.068526252,0.066884694,0.065152931,0.067683913,0.057746083,0.065055589,0.073434461,0.073086941,0.074667321,0.076789382,0.080075712,0.076704213,0.081371076,0.089264459
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Industrial Processes,IN - Industrial Processes,CH4,MtCO2e,0.037616,0.037926,0.03394,0.042282,0.036398,0.035122,0.036044,0.034914,0.019412,0.004871,0.000016,0.000005,0.000001,0.000001,0.000001,0,0,0,0,0,0,0,0
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Industrial Processes,IN - Industrial Processes,CO2,MtCO2e,6.36229,6.2996,5.64053,6.23747,6.15457,6.49088,6.58919,6.90519,5.87899,3.14325,3.39965,3.92194,3.7145,3.55395,3.77781,4.31136,4.49583,4.39484,4.04478,3.67905,3.42314,3.69503,3.77808
BGR,Bulgaria,BGR,Upper middle income,IBRD,Europe & Central Asia,Industrial Processes,IN - Industrial Processes,HFC,MtCO2e,0.0327,0.0462,0.06095,0.07798,0.10477,0.16628,0.24537,0.28236,0.42573,0.41814,0.41423,0.46781,0.48322,0.53932,0.60904,0.70734,0.73867,0.73916,0.74442,0.80646,0.79462,0.78885,0.70185
